ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
625	🧑🏽‍🦳	U+1F9D1 U+1F3FD U+200D U+1F9B3	1F9D1 1F3FD 200D 1F9B3	129489 127997 8205 129459	&#x1F9D1;&#x1F3FD;&#x200D;&#x1F9B3;	&#129489;&#127997;&#8205;&#129459;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%F0%9F%A6%B3	\ud83e\uddd1\ud83c\udffd\u200d\ud83e\uddb3		person: medium skin tone, white hair
626	🧑🏾	U+1F9D1 U+1F3FE	1F9D1 1F3FE	129489 127998	&#x1F9D1;&#x1F3FE;	&#129489;&#127998;	%F0%9F%A7%91%F0%9F%8F%BE	\ud83e\uddd1\ud83c\udffe		person: medium-dark skin tone
627	🧑🏾‍🦰	U+1F9D1 U+1F3FE U+200D U+1F9B0	1F9D1 1F3FE 200D 1F9B0	129489 127998 8205 129456	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F9B0;	&#129489;&#127998;&#8205;&#129456;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A6%B0	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\uddb0		person: medium-dark skin tone, red hair
628	🧑🏾‍🦱	U+1F9D1 U+1F3FE U+200D U+1F9B1	1F9D1 1F3FE 200D 1F9B1	129489 127998 8205 129457	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F9B1;	&#129489;&#127998;&#8205;&#129457;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A6%B1	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\uddb1		person: medium-dark skin tone, curly hair
629	🧑🏾‍🦲	U+1F9D1 U+1F3FE U+200D U+1F9B2	1F9D1 1F3FE 200D 1F9B2	129489 127998 8205 129458	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F9B2;	&#129489;&#127998;&#8205;&#129458;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A6%B2	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\uddb2		person: medium-dark skin tone, bald
630	🧑🏾‍🦳	U+1F9D1 U+1F3FE U+200D U+1F9B3	1F9D1 1F3FE 200D 1F9B3	129489 127998 8205 129459	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F9B3;	&#129489;&#127998;&#8205;&#129459;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A6%B3	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\uddb3		person: medium-dark skin tone, white hair
631	🧑🏿	U+1F9D1 U+1F3FF	1F9D1 1F3FF	129489 127999	&#x1F9D1;&#x1F3FF;	&#129489;&#127999;	%F0%9F%A7%91%F0%9F%8F%BF	\ud83e\uddd1\ud83c\udfff		person: dark skin tone
632	🧑🏿‍🦰	U+1F9D1 U+1F3FF U+200D U+1F9B0	1F9D1 1F3FF 200D 1F9B0	129489 127999 8205 129456	&#x1F9D1;&#x1F3FF;&#x200D;&#x1F9B0;	&#129489;&#127999;&#8205;&#129456;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%F0%9F%A6%B0	\ud83e\uddd1\ud83c\udfff\u200d\ud83e\uddb0		person: dark skin tone, red hair
633	🧑🏿‍🦱	U+1F9D1 U+1F3FF U+200D U+1F9B1	1F9D1 1F3FF 200D 1F9B1	129489 127999 8205 129457	&#x1F9D1;&#x1F3FF;&#x200D;&#x1F9B1;	&#129489;&#127999;&#8205;&#129457;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%F0%9F%A6%B1	\ud83e\uddd1\ud83c\udfff\u200d\ud83e\uddb1		person: dark skin tone, curly hair
634	🧑🏿‍🦲	U+1F9D1 U+1F3FF U+200D U+1F9B2	1F9D1 1F3FF 200D 1F9B2	129489 127999 8205 129458	&#x1F9D1;&#x1F3FF;&#x200D;&#x1F9B2;	&#129489;&#127999;&#8205;&#129458;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%F0%9F%A6%B2	\ud83e\uddd1\ud83c\udfff\u200d\ud83e\uddb2		person: dark skin tone, bald
