ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
1	😀	U+1F600	1F600	128512	&#x1F600;	&#128512;	%F0%9F%98%80	\ud83d\ude00	:grinning:	grinning face
2	😁	U+1F601	1F601	128513	&#x1F601;	&#128513;	%F0%9F%98%81	\ud83d\ude01	:grin:	beaming face with smiling eyes
3	😂	U+1F602	1F602	128514	&#x1F602;	&#128514;	%F0%9F%98%82	\ud83d\ude02	:joy:	face with tears of joy
4	😃	U+1F603	1F603	128515	&#x1F603;	&#128515;	%F0%9F%98%83	\ud83d\ude03	:smiley:	grinning face with big eyes
5	😄	U+1F604	1F604	128516	&#x1F604;	&#128516;	%F0%9F%98%84	\ud83d\ude04	:smile:	grinning face with smiling eyes
6	😅	U+1F605	1F605	128517	&#x1F605;	&#128517;	%F0%9F%98%85	\ud83d\ude05	:sweat_smile:	grinning face with sweat
7	😆	U+1F606	1F606	128518	&#x1F606;	&#128518;	%F0%9F%98%86	\ud83d\ude06	:laughing:	grinning squinting face
8	😇	U+1F607	1F607	128519	&#x1F607;	&#128519;	%F0%9F%98%87	\ud83d\ude07	:innocent:	smiling face with halo
9	😉	U+1F609	1F609	128521	&#x1F609;	&#128521;	%F0%9F%98%89	\ud83d\ude09	:wink:	winking face
10	😊	U+1F60A	1F60A	128522	&#x1F60A;	&#128522;	%F0%9F%98%8A	\ud83d\ude0a	:blush:	smiling face with smiling eyes
11	🙂	U+1F642	1F642	128578	&#x1F642;	&#128578;	%F0%9F%99%82	\ud83d\ude42	:slightly_smiling_face:	slightly smiling face
12	🙃	U+1F643	1F643	128579	&#x1F643;	&#128579;	%F0%9F%99%83	\ud83d\ude43	:upside_down_face:	upside-down face
13	🤣	U+1F923	1F923	129315	&#x1F923;	&#129315;	%F0%9F%A4%A3	\ud83e\udd23	:rofl:	rolling on the floor laughing
14	🫠	U+1FAE0	1FAE0	129760	&#x1FAE0;	&#129760;	%F0%9F%AB%A0	\ud83e\udee0		melting face
15	☺️	U+263A U+FE0F	263A FE0F	9786 65039	&#x263A;&#xFE0F;	&#9786;&#65039;	%E2%98%BA%EF%B8%8F	\u263a\ufe0f		smiling face
16	😍	U+1F60D	1F60D	128525	&#x1F60D;	&#128525;	%F0%9F%98%8D	\ud83d\ude0d	:heart_eyes:	smiling face with heart-eyes
17	😗	U+1F617	1F617	128535	&#x1F617;	&#128535;	%F0%9F%98%97	\ud83d\ude17	:kissing:	kissing face
18	😘	U+1F618	1F618	128536	&#x1F618;	&#128536;	%F0%9F%98%98	\ud83d\ude18	:kissing_heart:	face blowing a kiss
19	😙	U+1F619	1F619	128537	&#x1F619;	&#128537;	%F0%9F%98%99	\ud83d\ude19	:kissing_smiling_eyes:	kissing face with smiling eyes
20	😚	U+1F61A	1F61A	128538	&#x1F61A;	&#128538;	%F0%9F%98%9A	\ud83d\ude1a	:kissing_closed_eyes:	kissing face with closed eyes
21	🤩	U+1F929	1F929	129321	&#x1F929;	&#129321;	%F0%9F%A4%A9	\ud83e\udd29	:star_struck:	star-struck
22	🥰	U+1F970	1F970	129392	&#x1F970;	&#129392;	%F0%9F%A5%B0	\ud83e\udd70	:smiling_face_with_three_hearts:	smiling face with hearts
23	🥲	U+1F972	1F972	129394	&#x1F972;	&#129394;	%F0%9F%A5%B2	\ud83e\udd72	:smiling_face_with_tear:	smiling face with tear
24	😋	U+1F60B	1F60B	128523	&#x1F60B;	&#128523;	%F0%9F%98%8B	\ud83d\ude0b	:yum:	face savoring food
25	😛	U+1F61B	1F61B	128539	&#x1F61B;	&#128539;	%F0%9F%98%9B	\ud83d\ude1b	:stuck_out_tongue:	face with tongue
26	😜	U+1F61C	1F61C	128540	&#x1F61C;	&#128540;	%F0%9F%98%9C	\ud83d\ude1c	:stuck_out_tongue_winking_eye:	winking face with tongue
27	😝	U+1F61D	1F61D	128541	&#x1F61D;	&#128541;	%F0%9F%98%9D	\ud83d\ude1d	:stuck_out_tongue_closed_eyes:	squinting face with tongue
28	🤑	U+1F911	1F911	129297	&#x1F911;	&#129297;	%F0%9F%A4%91	\ud83e\udd11	:money_mouth_face:	money-mouth face
29	🤪	U+1F92A	1F92A	129322	&#x1F92A;	&#129322;	%F0%9F%A4%AA	\ud83e\udd2a	:zany_face:	zany face
30	🤔	U+1F914	1F914	129300	&#x1F914;	&#129300;	%F0%9F%A4%94	\ud83e\udd14	:thinking:	thinking face
31	🤗	U+1F917	1F917	129303	&#x1F917;	&#129303;	%F0%9F%A4%97	\ud83e\udd17	:hugs:	smiling face with open hands
32	🤫	U+1F92B	1F92B	129323	&#x1F92B;	&#129323;	%F0%9F%A4%AB	\ud83e\udd2b	:shushing_face:	shushing face
33	🤭	U+1F92D	1F92D	129325	&#x1F92D;	&#129325;	%F0%9F%A4%AD	\ud83e\udd2d	:hand_over_mouth:	face with hand over mouth
34	🫡	U+1FAE1	1FAE1	129761	&#x1FAE1;	&#129761;	%F0%9F%AB%A1	\ud83e\udee1		saluting face
35	🫢	U+1FAE2	1FAE2	129762	&#x1FAE2;	&#129762;	%F0%9F%AB%A2	\ud83e\udee2		face with open eyes and hand over mouth
36	🫣	U+1FAE3	1FAE3	129763	&#x1FAE3;	&#129763;	%F0%9F%AB%A3	\ud83e\udee3		face with peeking eye
37	😏	U+1F60F	1F60F	128527	&#x1F60F;	&#128527;	%F0%9F%98%8F	\ud83d\ude0f	:smirk:	smirking face
38	😐	U+1F610	1F610	128528	&#x1F610;	&#128528;	%F0%9F%98%90	\ud83d\ude10	:neutral_face:	neutral face
39	😑	U+1F611	1F611	128529	&#x1F611;	&#128529;	%F0%9F%98%91	\ud83d\ude11	:expressionless:	expressionless face
40	😒	U+1F612	1F612	128530	&#x1F612;	&#128530;	%F0%9F%98%92	\ud83d\ude12	:unamused:	unamused face
41	😬	U+1F62C	1F62C	128556	&#x1F62C;	&#128556;	%F0%9F%98%AC	\ud83d\ude2c	:grimacing:	grimacing face
42	😮‍💨	U+1F62E U+200D U+1F4A8	1F62E 200D 1F4A8	128558 8205 128168	&#x1F62E;&#x200D;&#x1F4A8;	&#128558;&#8205;&#128168;	%F0%9F%98%AE%E2%80%8D%F0%9F%92%A8	\ud83d\ude2e\u200d\ud83d\udca8	:face_exhaling:	face exhaling
43	😶	U+1F636	1F636	128566	&#x1F636;	&#128566;	%F0%9F%98%B6	\ud83d\ude36	:no_mouth:	face without mouth
44	😶‍🌫️	U+1F636 U+200D U+1F32B U+FE0F	1F636 200D 1F32B FE0F	128566 8205 127787 65039	&#x1F636;&#x200D;&#x1F32B;&#xFE0F;	&#128566;&#8205;&#127787;&#65039;	%F0%9F%98%B6%E2%80%8D%F0%9F%8C%AB%EF%B8%8F	\ud83d\ude36\u200d\ud83c\udf2b\ufe0f		face in clouds
45	🙂‍↔️	U+1F642 U+200D U+2194 U+FE0F	1F642 200D 2194 FE0F	128578 8205 8596 65039	&#x1F642;&#x200D;&#x2194;&#xFE0F;	&#128578;&#8205;&#8596;&#65039;	%F0%9F%99%82%E2%80%8D%E2%86%94%EF%B8%8F	\ud83d\ude42\u200d\u2194\ufe0f		head shaking horizontally
46	🙂‍↕️	U+1F642 U+200D U+2195 U+FE0F	1F642 200D 2195 FE0F	128578 8205 8597 65039	&#x1F642;&#x200D;&#x2195;&#xFE0F;	&#128578;&#8205;&#8597;&#65039;	%F0%9F%99%82%E2%80%8D%E2%86%95%EF%B8%8F	\ud83d\ude42\u200d\u2195\ufe0f		head shaking vertically
47	🙄	U+1F644	1F644	128580	&#x1F644;	&#128580;	%F0%9F%99%84	\ud83d\ude44	:roll_eyes:	face with rolling eyes
48	🤐	U+1F910	1F910	129296	&#x1F910;	&#129296;	%F0%9F%A4%90	\ud83e\udd10	:zipper_mouth_face:	zipper-mouth face
49	🤥	U+1F925	1F925	129317	&#x1F925;	&#129317;	%F0%9F%A4%A5	\ud83e\udd25	:lying_face:	lying face
50	🤨	U+1F928	1F928	129320	&#x1F928;	&#129320;	%F0%9F%A4%A8	\ud83e\udd28	:raised_eyebrow:	face with raised eyebrow
51	🫥	U+1FAE5	1FAE5	129765	&#x1FAE5;	&#129765;	%F0%9F%AB%A5	\ud83e\udee5		dotted line face
52	🫨	U+1FAE8	1FAE8	129768	&#x1FAE8;	&#129768;	%F0%9F%AB%A8	\ud83e\udee8		shaking face
53	😌	U+1F60C	1F60C	128524	&#x1F60C;	&#128524;	%F0%9F%98%8C	\ud83d\ude0c	:relieved:	relieved face
54	😔	U+1F614	1F614	128532	&#x1F614;	&#128532;	%F0%9F%98%94	\ud83d\ude14	:pensive:	pensive face
55	😪	U+1F62A	1F62A	128554	&#x1F62A;	&#128554;	%F0%9F%98%AA	\ud83d\ude2a	:sleepy:	sleepy face
56	😴	U+1F634	1F634	128564	&#x1F634;	&#128564;	%F0%9F%98%B4	\ud83d\ude34	:sleeping:	sleeping face
57	🤤	U+1F924	1F924	129316	&#x1F924;	&#129316;	%F0%9F%A4%A4	\ud83e\udd24	:drooling_face:	drooling face
58	🫩	U+1FAE9	1FAE9	129769	&#x1FAE9;	&#129769;	%F0%9F%AB%A9	\ud83e\udee9		face with bags under eyes
59	😵	U+1F635	1F635	128565	&#x1F635;	&#128565;	%F0%9F%98%B5	\ud83d\ude35	:dizzy_face:	face with crossed-out eyes
60	😵‍💫	U+1F635 U+200D U+1F4AB	1F635 200D 1F4AB	128565 8205 128171	&#x1F635;&#x200D;&#x1F4AB;	&#128565;&#8205;&#128171;	%F0%9F%98%B5%E2%80%8D%F0%9F%92%AB	\ud83d\ude35\u200d\ud83d\udcab	:face_with_spiral_eyes:	face with spiral eyes
61	😷	U+1F637	1F637	128567	&#x1F637;	&#128567;	%F0%9F%98%B7	\ud83d\ude37	:mask:	face with medical mask
62	🤒	U+1F912	1F912	129298	&#x1F912;	&#129298;	%F0%9F%A4%92	\ud83e\udd12	:face_with_thermometer:	face with thermometer
63	🤕	U+1F915	1F915	129301	&#x1F915;	&#129301;	%F0%9F%A4%95	\ud83e\udd15	:face_with_head_bandage:	face with head-bandage
64	🤢	U+1F922	1F922	129314	&#x1F922;	&#129314;	%F0%9F%A4%A2	\ud83e\udd22	:nauseated_face:	nauseated face
65	🤧	U+1F927	1F927	129319	&#x1F927;	&#129319;	%F0%9F%A4%A7	\ud83e\udd27	:sneezing_face:	sneezing face
66	🤮	U+1F92E	1F92E	129326	&#x1F92E;	&#129326;	%F0%9F%A4%AE	\ud83e\udd2e	:vomiting_face:	face vomiting
67	🤯	U+1F92F	1F92F	129327	&#x1F92F;	&#129327;	%F0%9F%A4%AF	\ud83e\udd2f	:exploding_head:	exploding head
68	🥴	U+1F974	1F974	129396	&#x1F974;	&#129396;	%F0%9F%A5%B4	\ud83e\udd74	:woozy_face:	woozy face
69	🥵	U+1F975	1F975	129397	&#x1F975;	&#129397;	%F0%9F%A5%B5	\ud83e\udd75	:hot_face:	hot face
70	🥶	U+1F976	1F976	129398	&#x1F976;	&#129398;	%F0%9F%A5%B6	\ud83e\udd76	:cold_face:	cold face
71	🤠	U+1F920	1F920	129312	&#x1F920;	&#129312;	%F0%9F%A4%A0	\ud83e\udd20	:cowboy_hat_face:	cowboy hat face
72	🥳	U+1F973	1F973	129395	&#x1F973;	&#129395;	%F0%9F%A5%B3	\ud83e\udd73	:partying_face:	partying face
73	🥸	U+1F978	1F978	129400	&#x1F978;	&#129400;	%F0%9F%A5%B8	\ud83e\udd78	:disguised_face:	disguised face
74	😎	U+1F60E	1F60E	128526	&#x1F60E;	&#128526;	%F0%9F%98%8E	\ud83d\ude0e	:sunglasses:	smiling face with sunglasses
75	🤓	U+1F913	1F913	129299	&#x1F913;	&#129299;	%F0%9F%A4%93	\ud83e\udd13	:nerd_face:	nerd face
76	🧐	U+1F9D0	1F9D0	129488	&#x1F9D0;	&#129488;	%F0%9F%A7%90	\ud83e\uddd0	:monocle_face:	face with monocle
77	☹️	U+2639 U+FE0F	2639 FE0F	9785 65039	&#x2639;&#xFE0F;	&#9785;&#65039;	%E2%98%B9%EF%B8%8F	\u2639\ufe0f		frowning face
78	😓	U+1F613	1F613	128531	&#x1F613;	&#128531;	%F0%9F%98%93	\ud83d\ude13	:sweat:	downcast face with sweat
79	😕	U+1F615	1F615	128533	&#x1F615;	&#128533;	%F0%9F%98%95	\ud83d\ude15	:confused:	confused face
80	😖	U+1F616	1F616	128534	&#x1F616;	&#128534;	%F0%9F%98%96	\ud83d\ude16	:confounded:	confounded face
81	😞	U+1F61E	1F61E	128542	&#x1F61E;	&#128542;	%F0%9F%98%9E	\ud83d\ude1e	:disappointed:	disappointed face
82	😟	U+1F61F	1F61F	128543	&#x1F61F;	&#128543;	%F0%9F%98%9F	\ud83d\ude1f	:worried:	worried face
83	😢	U+1F622	1F622	128546	&#x1F622;	&#128546;	%F0%9F%98%A2	\ud83d\ude22	:cry:	crying face
84	😣	U+1F623	1F623	128547	&#x1F623;	&#128547;	%F0%9F%98%A3	\ud83d\ude23	:persevere:	persevering face
85	😥	U+1F625	1F625	128549	&#x1F625;	&#128549;	%F0%9F%98%A5	\ud83d\ude25	:disappointed_relieved:	sad but relieved face
86	😦	U+1F626	1F626	128550	&#x1F626;	&#128550;	%F0%9F%98%A6	\ud83d\ude26	:frowning:	frowning face with open mouth
87	😧	U+1F627	1F627	128551	&#x1F627;	&#128551;	%F0%9F%98%A7	\ud83d\ude27	:anguished:	anguished face
88	😨	U+1F628	1F628	128552	&#x1F628;	&#128552;	%F0%9F%98%A8	\ud83d\ude28	:fearful:	fearful face
89	😩	U+1F629	1F629	128553	&#x1F629;	&#128553;	%F0%9F%98%A9	\ud83d\ude29	:weary:	weary face
90	😫	U+1F62B	1F62B	128555	&#x1F62B;	&#128555;	%F0%9F%98%AB	\ud83d\ude2b	:tired_face:	tired face
91	😭	U+1F62D	1F62D	128557	&#x1F62D;	&#128557;	%F0%9F%98%AD	\ud83d\ude2d	:sob:	loudly crying face
92	😮	U+1F62E	1F62E	128558	&#x1F62E;	&#128558;	%F0%9F%98%AE	\ud83d\ude2e	:open_mouth:	face with open mouth
93	😯	U+1F62F	1F62F	128559	&#x1F62F;	&#128559;	%F0%9F%98%AF	\ud83d\ude2f	:hushed:	hushed face
94	😰	U+1F630	1F630	128560	&#x1F630;	&#128560;	%F0%9F%98%B0	\ud83d\ude30	:cold_sweat:	anxious face with sweat
95	😱	U+1F631	1F631	128561	&#x1F631;	&#128561;	%F0%9F%98%B1	\ud83d\ude31	:scream:	face screaming in fear
96	😲	U+1F632	1F632	128562	&#x1F632;	&#128562;	%F0%9F%98%B2	\ud83d\ude32	:astonished:	astonished face
97	😳	U+1F633	1F633	128563	&#x1F633;	&#128563;	%F0%9F%98%B3	\ud83d\ude33	:flushed:	flushed face
98	🙁	U+1F641	1F641	128577	&#x1F641;	&#128577;	%F0%9F%99%81	\ud83d\ude41	:slightly_frowning_face:	slightly frowning face
99	🥱	U+1F971	1F971	129393	&#x1F971;	&#129393;	%F0%9F%A5%B1	\ud83e\udd71	:yawning_face:	yawning face
100	🥹	U+1F979	1F979	129401	&#x1F979;	&#129401;	%F0%9F%A5%B9	\ud83e\udd79		face holding back tears
101	🥺	U+1F97A	1F97A	129402	&#x1F97A;	&#129402;	%F0%9F%A5%BA	\ud83e\udd7a	:pleading_face:	pleading face
102	🫤	U+1FAE4	1FAE4	129764	&#x1FAE4;	&#129764;	%F0%9F%AB%A4	\ud83e\udee4		face with diagonal mouth
103	🫪	U+1FAEA	1FAEA	129770	&#x1FAEA;	&#129770;	%F0%9F%AB%AA	\ud83e\udeea		distorted face
104	☠️	U+2620 U+FE0F	2620 FE0F	9760 65039	&#x2620;&#xFE0F;	&#9760;&#65039;	%E2%98%A0%EF%B8%8F	\u2620\ufe0f		skull and crossbones
105	👿	U+1F47F	1F47F	128127	&#x1F47F;	&#128127;	%F0%9F%91%BF	\ud83d\udc7f	:imp:	angry face with horns
106	💀	U+1F480	1F480	128128	&#x1F480;	&#128128;	%F0%9F%92%80	\ud83d\udc80	:skull:	skull
107	😈	U+1F608	1F608	128520	&#x1F608;	&#128520;	%F0%9F%98%88	\ud83d\ude08	:smiling_imp:	smiling face with horns
108	😠	U+1F620	1F620	128544	&#x1F620;	&#128544;	%F0%9F%98%A0	\ud83d\ude20	:angry:	angry face
109	😡	U+1F621	1F621	128545	&#x1F621;	&#128545;	%F0%9F%98%A1	\ud83d\ude21	:pout:	enraged face
110	😤	U+1F624	1F624	128548	&#x1F624;	&#128548;	%F0%9F%98%A4	\ud83d\ude24	:triumph:	face with steam from nose
111	🤬	U+1F92C	1F92C	129324	&#x1F92C;	&#129324;	%F0%9F%A4%AC	\ud83e\udd2c	:cursing_face:	face with symbols on mouth
112	👹	U+1F479	1F479	128121	&#x1F479;	&#128121;	%F0%9F%91%B9	\ud83d\udc79	:japanese_ogre:	ogre
113	👺	U+1F47A	1F47A	128122	&#x1F47A;	&#128122;	%F0%9F%91%BA	\ud83d\udc7a	:japanese_goblin:	goblin
114	👻	U+1F47B	1F47B	128123	&#x1F47B;	&#128123;	%F0%9F%91%BB	\ud83d\udc7b	:ghost:	ghost
115	👽	U+1F47D	1F47D	128125	&#x1F47D;	&#128125;	%F0%9F%91%BD	\ud83d\udc7d	:alien:	alien
116	👾	U+1F47E	1F47E	128126	&#x1F47E;	&#128126;	%F0%9F%91%BE	\ud83d\udc7e	:space_invader:	alien monster
117	💩	U+1F4A9	1F4A9	128169	&#x1F4A9;	&#128169;	%F0%9F%92%A9	\ud83d\udca9	:hankey:	pile of poo
118	🤖	U+1F916	1F916	129302	&#x1F916;	&#129302;	%F0%9F%A4%96	\ud83e\udd16	:robot:	robot
119	🤡	U+1F921	1F921	129313	&#x1F921;	&#129313;	%F0%9F%A4%A1	\ud83e\udd21	:clown_face:	clown face
120	😸	U+1F638	1F638	128568	&#x1F638;	&#128568;	%F0%9F%98%B8	\ud83d\ude38	:smile_cat:	grinning cat with smiling eyes
121	😹	U+1F639	1F639	128569	&#x1F639;	&#128569;	%F0%9F%98%B9	\ud83d\ude39	:joy_cat:	cat with tears of joy
122	😺	U+1F63A	1F63A	128570	&#x1F63A;	&#128570;	%F0%9F%98%BA	\ud83d\ude3a	:smiley_cat:	grinning cat
123	😻	U+1F63B	1F63B	128571	&#x1F63B;	&#128571;	%F0%9F%98%BB	\ud83d\ude3b	:heart_eyes_cat:	smiling cat with heart-eyes
124	😼	U+1F63C	1F63C	128572	&#x1F63C;	&#128572;	%F0%9F%98%BC	\ud83d\ude3c	:smirk_cat:	cat with wry smile
125	😽	U+1F63D	1F63D	128573	&#x1F63D;	&#128573;	%F0%9F%98%BD	\ud83d\ude3d	:kissing_cat:	kissing cat
126	😾	U+1F63E	1F63E	128574	&#x1F63E;	&#128574;	%F0%9F%98%BE	\ud83d\ude3e	:pouting_cat:	pouting cat
127	😿	U+1F63F	1F63F	128575	&#x1F63F;	&#128575;	%F0%9F%98%BF	\ud83d\ude3f	:crying_cat_face:	crying cat
128	🙀	U+1F640	1F640	128576	&#x1F640;	&#128576;	%F0%9F%99%80	\ud83d\ude40	:scream_cat:	weary cat
129	🙈	U+1F648	1F648	128584	&#x1F648;	&#128584;	%F0%9F%99%88	\ud83d\ude48	:see_no_evil:	see-no-evil monkey
130	🙉	U+1F649	1F649	128585	&#x1F649;	&#128585;	%F0%9F%99%89	\ud83d\ude49	:hear_no_evil:	hear-no-evil monkey
131	🙊	U+1F64A	1F64A	128586	&#x1F64A;	&#128586;	%F0%9F%99%8A	\ud83d\ude4a	:speak_no_evil:	speak-no-evil monkey
132	❣️	U+2763 U+FE0F	2763 FE0F	10083 65039	&#x2763;&#xFE0F;	&#10083;&#65039;	%E2%9D%A3%EF%B8%8F	\u2763\ufe0f		heart exclamation
133	❤️	U+2764 U+FE0F	2764 FE0F	10084 65039	&#x2764;&#xFE0F;	&#10084;&#65039;	%E2%9D%A4%EF%B8%8F	\u2764\ufe0f	:heart:	red heart
134	❤️‍🔥	U+2764 U+FE0F U+200D U+1F525	2764 FE0F 200D 1F525	10084 65039 8205 128293	&#x2764;&#xFE0F;&#x200D;&#x1F525;	&#10084;&#65039;&#8205;&#128293;	%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%94%A5	\u2764\ufe0f\u200d\ud83d\udd25		heart on fire
135	❤️‍🩹	U+2764 U+FE0F U+200D U+1FA79	2764 FE0F 200D 1FA79	10084 65039 8205 129657	&#x2764;&#xFE0F;&#x200D;&#x1FA79;	&#10084;&#65039;&#8205;&#129657;	%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A9%B9	\u2764\ufe0f\u200d\ud83e\ude79		mending heart
136	💌	U+1F48C	1F48C	128140	&#x1F48C;	&#128140;	%F0%9F%92%8C	\ud83d\udc8c	:love_letter:	love letter
137	💓	U+1F493	1F493	128147	&#x1F493;	&#128147;	%F0%9F%92%93	\ud83d\udc93	:heartbeat:	beating heart
138	💔	U+1F494	1F494	128148	&#x1F494;	&#128148;	%F0%9F%92%94	\ud83d\udc94	:broken_heart:	broken heart
139	💕	U+1F495	1F495	128149	&#x1F495;	&#128149;	%F0%9F%92%95	\ud83d\udc95	:two_hearts:	two hearts
140	💖	U+1F496	1F496	128150	&#x1F496;	&#128150;	%F0%9F%92%96	\ud83d\udc96	:sparkling_heart:	sparkling heart
141	💗	U+1F497	1F497	128151	&#x1F497;	&#128151;	%F0%9F%92%97	\ud83d\udc97	:heartpulse:	growing heart
142	💘	U+1F498	1F498	128152	&#x1F498;	&#128152;	%F0%9F%92%98	\ud83d\udc98	:cupid:	heart with arrow
143	💙	U+1F499	1F499	128153	&#x1F499;	&#128153;	%F0%9F%92%99	\ud83d\udc99	:blue_heart:	blue heart
144	💚	U+1F49A	1F49A	128154	&#x1F49A;	&#128154;	%F0%9F%92%9A	\ud83d\udc9a	:green_heart:	green heart
145	💛	U+1F49B	1F49B	128155	&#x1F49B;	&#128155;	%F0%9F%92%9B	\ud83d\udc9b	:yellow_heart:	yellow heart
146	💜	U+1F49C	1F49C	128156	&#x1F49C;	&#128156;	%F0%9F%92%9C	\ud83d\udc9c	:purple_heart:	purple heart
147	💝	U+1F49D	1F49D	128157	&#x1F49D;	&#128157;	%F0%9F%92%9D	\ud83d\udc9d	:gift_heart:	heart with ribbon
148	💞	U+1F49E	1F49E	128158	&#x1F49E;	&#128158;	%F0%9F%92%9E	\ud83d\udc9e	:revolving_hearts:	revolving hearts
149	💟	U+1F49F	1F49F	128159	&#x1F49F;	&#128159;	%F0%9F%92%9F	\ud83d\udc9f	:heart_decoration:	heart decoration
150	🖤	U+1F5A4	1F5A4	128420	&#x1F5A4;	&#128420;	%F0%9F%96%A4	\ud83d\udda4	:black_heart:	black heart
151	🤍	U+1F90D	1F90D	129293	&#x1F90D;	&#129293;	%F0%9F%A4%8D	\ud83e\udd0d	:white_heart:	white heart
152	🤎	U+1F90E	1F90E	129294	&#x1F90E;	&#129294;	%F0%9F%A4%8E	\ud83e\udd0e	:brown_heart:	brown heart
153	🧡	U+1F9E1	1F9E1	129505	&#x1F9E1;	&#129505;	%F0%9F%A7%A1	\ud83e\udde1	:orange_heart:	orange heart
154	🩵	U+1FA75	1FA75	129653	&#x1FA75;	&#129653;	%F0%9F%A9%B5	\ud83e\ude75		light blue heart
155	🩶	U+1FA76	1FA76	129654	&#x1FA76;	&#129654;	%F0%9F%A9%B6	\ud83e\ude76		grey heart
156	🩷	U+1FA77	1FA77	129655	&#x1FA77;	&#129655;	%F0%9F%A9%B7	\ud83e\ude77		pink heart
157	👁️‍🗨️	U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F	1F441 FE0F 200D 1F5E8 FE0F	128065 65039 8205 128488 65039	&#x1F441;&#xFE0F;&#x200D;&#x1F5E8;&#xFE0F;	&#128065;&#65039;&#8205;&#128488;&#65039;	%F0%9F%91%81%EF%B8%8F%E2%80%8D%F0%9F%97%A8%EF%B8%8F	\ud83d\udc41\ufe0f\u200d\ud83d\udde8\ufe0f		eye in speech bubble
158	💋	U+1F48B	1F48B	128139	&#x1F48B;	&#128139;	%F0%9F%92%8B	\ud83d\udc8b	:kiss:	kiss mark
159	💢	U+1F4A2	1F4A2	128162	&#x1F4A2;	&#128162;	%F0%9F%92%A2	\ud83d\udca2	:anger:	anger symbol
160	💤	U+1F4A4	1F4A4	128164	&#x1F4A4;	&#128164;	%F0%9F%92%A4	\ud83d\udca4	:zzz:	ZZZ
161	💥	U+1F4A5	1F4A5	128165	&#x1F4A5;	&#128165;	%F0%9F%92%A5	\ud83d\udca5	:boom:	collision
162	💦	U+1F4A6	1F4A6	128166	&#x1F4A6;	&#128166;	%F0%9F%92%A6	\ud83d\udca6	:sweat_drops:	sweat droplets
163	💨	U+1F4A8	1F4A8	128168	&#x1F4A8;	&#128168;	%F0%9F%92%A8	\ud83d\udca8	:dash:	dashing away
164	💫	U+1F4AB	1F4AB	128171	&#x1F4AB;	&#128171;	%F0%9F%92%AB	\ud83d\udcab	:dizzy:	dizzy
165	💬	U+1F4AC	1F4AC	128172	&#x1F4AC;	&#128172;	%F0%9F%92%AC	\ud83d\udcac	:speech_balloon:	speech balloon
166	💭	U+1F4AD	1F4AD	128173	&#x1F4AD;	&#128173;	%F0%9F%92%AD	\ud83d\udcad	:thought_balloon:	thought balloon
167	💯	U+1F4AF	1F4AF	128175	&#x1F4AF;	&#128175;	%F0%9F%92%AF	\ud83d\udcaf	:100:	hundred points
168	🕳️	U+1F573 U+FE0F	1F573 FE0F	128371 65039	&#x1F573;&#xFE0F;	&#128371;&#65039;	%F0%9F%95%B3%EF%B8%8F	\ud83d\udd73\ufe0f		hole
169	🗨️	U+1F5E8 U+FE0F	1F5E8 FE0F	128488 65039	&#x1F5E8;&#xFE0F;	&#128488;&#65039;	%F0%9F%97%A8%EF%B8%8F	\ud83d\udde8\ufe0f		left speech bubble
170	🗯️	U+1F5EF U+FE0F	1F5EF FE0F	128495 65039	&#x1F5EF;&#xFE0F;	&#128495;&#65039;	%F0%9F%97%AF%EF%B8%8F	\ud83d\uddef\ufe0f		right anger bubble
171	🫯	U+1FAEF	1FAEF	129775	&#x1FAEF;	&#129775;	%F0%9F%AB%AF	\ud83e\udeef		fight cloud
172	✋	U+270B	270B	9995	&#x270B;	&#9995;	%E2%9C%8B	\u270b	:hand:	raised hand
173	✋🏻	U+270B U+1F3FB	270B 1F3FB	9995 127995	&#x270B;&#x1F3FB;	&#9995;&#127995;	%E2%9C%8B%F0%9F%8F%BB	\u270b\ud83c\udffb		raised hand: light skin tone
174	✋🏼	U+270B U+1F3FC	270B 1F3FC	9995 127996	&#x270B;&#x1F3FC;	&#9995;&#127996;	%E2%9C%8B%F0%9F%8F%BC	\u270b\ud83c\udffc		raised hand: medium-light skin tone
175	✋🏽	U+270B U+1F3FD	270B 1F3FD	9995 127997	&#x270B;&#x1F3FD;	&#9995;&#127997;	%E2%9C%8B%F0%9F%8F%BD	\u270b\ud83c\udffd		raised hand: medium skin tone
176	✋🏾	U+270B U+1F3FE	270B 1F3FE	9995 127998	&#x270B;&#x1F3FE;	&#9995;&#127998;	%E2%9C%8B%F0%9F%8F%BE	\u270b\ud83c\udffe		raised hand: medium-dark skin tone
177	✋🏿	U+270B U+1F3FF	270B 1F3FF	9995 127999	&#x270B;&#x1F3FF;	&#9995;&#127999;	%E2%9C%8B%F0%9F%8F%BF	\u270b\ud83c\udfff		raised hand: dark skin tone
178	👋	U+1F44B	1F44B	128075	&#x1F44B;	&#128075;	%F0%9F%91%8B	\ud83d\udc4b	:wave:	waving hand
